structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
"Medial mammillary nucleus, median part",0.0,0.0,0.0,0.0426869999999999,0.0493679999999999,0.092055,0.0,0.0
"Medial mammillary nucleus, posterior part",0.0,0.0,0.0,0.016005,0.0181729999999999,0.034178,0.0,0.0
Medial preoptic area,0.0,0.0,0.0,0.304583,0.290891,0.5954740000000001,0.0,0.0
Medial preoptic nucleus,0.0,0.0,0.0,0.19704,0.1820149999999999,0.379055,0.0,0.0
Medial pretectal area,0.0,0.0,0.0,0.0289339999999999,0.025349,0.054283,0.0,0.0
Medial septal nucleus,3.0,5.0,8.0,0.2505489999999999,0.282231,0.53278,11.973705742190155,17.715984424106495
Medial terminal nucleus of the accessory optic tract,1.0,0.0,1.0,0.026579,0.02844,0.055019,37.6236878738854,0.0
Medial vestibular nucleus,83.0,62.0,145.0,1.041791,1.030172,2.071963,79.67049053025032,60.18412459278644
Median eminence,0.0,0.0,0.0,0.033551,0.038383,0.071934,0.0,0.0
Median preoptic nucleus,0.0,0.0,0.0,0.016921,0.0236,0.040521,0.0,0.0
Mediodorsal nucleus of thalamus,24.0,16.0,40.0,0.843213,0.816789,1.660002,28.462559282174254,19.5889023970695
Medulla,18.0,15.0,33.0,1.486563,1.752706,3.239269,12.108467653237703,8.558195156517979
"Medullary reticular nucleus, dorsal part",0.0,0.0,0.0,4.5e-05,0.1585069999999999,0.1585519999999999,0.0,0.0
"Medullary reticular nucleus, ventral part",0.0,0.0,0.0,0.049793,0.096664,0.146457,0.0,0.0
Midbrain,47.0,58.0,105.0,3.717381,3.723924,7.441305,12.643309900168964,15.574968769502279
Midbrain reticular nucleus,44.0,52.0,96.0,2.924483,2.920819,5.845302,15.045394348334389,17.803225739082087
"Midbrain reticular nucleus, retrorubral area",0.0,2.0,2.0,0.084414,0.089129,0.173543,0.0,22.439385609622008
Midbrain trigeminal nucleus,0.0,2.0,2.0,0.0053219999999999,0.005174,0.0104959999999999,0.0,386.5481252415926
Motor nucleus of trigeminal,4.0,8.0,12.0,0.2528849999999999,0.2369079999999999,0.4897929999999999,15.817466437313408,33.76838266331236
Nodulus (X),35.0,52.0,87.0,0.918575,0.8695259999999999,1.7881009999999995,38.10249571346923,59.80269710163929
Nucleus accumbens,1.0,1.0,2.0,2.602272,2.654328,5.2566,0.38427958337944684,0.3767431907435705
"Nucleus ambiguus, dorsal division",2.0,0.0,2.0,0.008032,0.008024,0.016056,249.00398406374504,0.0
"Nucleus ambiguus, ventral division",0.0,0.0,0.0,0.006378,0.0053219999999999,0.0116999999999999,0.0,0.0
Nucleus incertus,5.0,5.0,10.0,0.066143,0.070294,0.1364369999999999,75.59378921427816,71.12982615870487
Nucleus of Darkschewitsch,3.0,0.0,3.0,0.053325,0.053709,0.1070339999999999,56.258790436005626,0.0
Nucleus of Roller,0.0,0.0,0.0,0.0113759999999999,0.012261,0.023637,0.0,0.0
Nucleus of reuniens,3.0,1.0,4.0,0.266194,0.2723109999999999,0.538505,11.269976032517638,3.67227177748971
Nucleus of the brachium of the inferior colliculus,0.0,0.0,0.0,0.0449349999999999,0.046491,0.091426,0.0,0.0
Nucleus of the lateral lemniscus,1.0,2.0,3.0,0.371262,0.327791,0.6990529999999999,2.693515630471204,6.101448789014952
"Nucleus of the lateral olfactory tract, layer 3",0.0,0.0,0.0,0.0301549999999999,0.031296,0.0614509999999999,0.0,0.0
"Nucleus of the lateral olfactory tract, molecular layer",0.0,0.0,0.0,0.056343,0.055295,0.1116379999999999,0.0,0.0
"Nucleus of the lateral olfactory tract, pyramidal layer",0.0,0.0,0.0,0.075124,0.0757169999999999,0.150841,0.0,0.0
Nucleus of the optic tract,0.0,0.0,0.0,0.1161099999999999,0.106832,0.2229419999999999,0.0,0.0
Nucleus of the posterior commissure,1.0,1.0,2.0,0.186822,0.1746299999999999,0.361452,5.352688655511664,5.726392945083895
Nucleus of the solitary tract,8.0,14.0,22.0,0.296607,0.341287,0.637894,26.971716783487913,41.02119330651328
Nucleus of the trapezoid body,1.0,0.0,1.0,0.084537,0.0922959999999999,0.176833,11.829139903237635,0.0
Nucleus prepositus,20.0,16.0,36.0,0.1098909999999999,0.1101439999999999,0.2200349999999999,181.99852581194108,145.26438117373633
Nucleus raphe magnus,13.0,4.0,17.0,0.0539899999999999,0.080216,0.134206,240.78533061678132,49.865363518500054
Nucleus raphe obscurus,0.0,1.0,1.0,0.009457,0.01966,0.029117,0.0,50.8646998982706
Nucleus raphe pallidus,1.0,0.0,1.0,0.018337,0.027849,0.046186,54.53454763592736,0.0
Nucleus raphe pontis,0.0,1.0,1.0,0.0505209999999999,0.053058,0.103579,0.0,18.847299182027214
Nucleus sagulum,0.0,0.0,0.0,0.048089,0.046633,0.094722,0.0,0.0
